Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
Canada,74323536,Canada,No Medal,Athletics Men's 100 metres,No Medal,No Medal,Bronze,No Medal
Canada,74323530,Canada,No Medal,Judo Men's Heavyweight,No Medal,No Medal,Bronze,No Medal
Canada,7119,Canada,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal,Bronze,No Medal,No Medal
Canada,74323518,Canada,No Medal,"Shooting Women's Sporting Pistol, 25 metres",No Medal,No Medal,Gold,No Medal
Canada,74313115,Canada,No Medal,Sailing Mixed Three Person Keelboat,Bronze,No Medal,Bronze,No Medal
Canada,74323522,Canada,No Medal,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,No Medal,Gold,No Medal
Canada,74323527,Canada,No Medal,Rowing Women's Double Sculls,No Medal,No Medal,Bronze,No Medal
Canada,74323500,Canada,No Medal,Synchronized Swimming Women's Duet,No Medal,No Medal,Silver,Gold
Canada,74313114,Canada,No Medal,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Silver,Silver,Silver
Canada,74323502,Canada,No Medal,Swimming Men's 100 metres Breaststroke,No Medal,No Medal,Silver,No Medal
Canada,74323532,Canada,No Medal,"Canoeing Men's Kayak Doubles, 500 metres",No Medal,No Medal,Bronze,No Medal
Canada,74323535,Canada,No Medal,Athletics Men's 4 x 100 metres Relay,No Medal,No Medal,Bronze,No Medal
Canada,74323514,Canada,No Medal,Swimming Women's 200 metres Breaststroke,No Medal,No Medal,Gold,No Medal
Canada,74323509,Canada,No Medal,"Canoeing Men's Canadian Singles, 1,000 metres",No Medal,No Medal,Silver,No Medal
Canada,74323901,Canada,No Medal,Boxing Men's Super-Heavyweight,No Medal,No Medal,No Medal,Gold
Canada,74323900,Canada,No Medal,Boxing Men's Middleweight,No Medal,No Medal,No Medal,Silver
China,74317488,China,No Medal,Taekwondo Men's Welterweight,No Medal,Bronze,No Medal,No Medal
China,74169689,China,No Medal,Trampolining Women's Individual,Bronze,Gold,No Medal,No Medal
China,74169688,China,No Medal,Athletics Men's 110 metres Hurdles,Gold,No Medal,No Medal,No Medal
China,74317471,China,No Medal,Table Tennis Men's Team,No Medal,Gold,No Medal,No Medal
China,74169644,China,No Medal,Diving Women's Springboard,Gold,Bronze,No Medal,No Medal
China,74317455,China,No Medal,Rowing Women's Coxless Pairs,No Medal,Silver,No Medal,No Medal
China,74169652,China,No Medal,Archery Women's Team,Silver,Silver,No Medal,No Medal
China,74169627,China,No Medal,Table Tennis Men's Singles,Silver,Gold,No Medal,No Medal
China,74317496,China,No Medal,Cycling Women's Sprint,No Medal,Bronze,No Medal,No Medal
China,74169625,China,No Medal,Weightlifting Men's Bantamweight,Silver,Gold,No Medal,No Medal
China,74169632,China,No Medal,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Silver,No Medal,No Medal
China,74317456,China,No Medal,Rhythmic Gymnastics Women's Group,No Medal,Silver,No Medal,No Medal
China,74169679,China,No Medal,Diving Men's Platform,Gold,Silver,No Medal,No Medal
China,74169690,China,No Medal,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze,Gold,No Medal,No Medal
China,74169650,China,No Medal,Badminton Women's Doubles,Gold,Gold,No Medal,No Medal
China,74317478,China,No Medal,Gymnastics Men's Team All-Around,No Medal,Gold,No Medal,No Medal
China,74169630,China,No Medal,Table Tennis Men's Singles,Bronze,Gold,No Medal,No Medal
